signalId,date open,date closed,coin,exchange,direction,leverage,avgEntryPrice,avgTpValue,maxReachedEntry,maxReachedTp,pnl,allocatedAmount,spentAmount,realizedProfit,unrealizedProfit,totalProfit,status,EP1,EP2,TP1,TP2,TP3,stopLoss,TP Pot. Profit 1,TP Pot. Profit 2,TP Pot. Profit 3,potentialLoss
KSM/USDT:LONG:21.4,"01/02/2023, 11:26:13 PM","01/03/2023, 03:52:00 PM",KSM/USDT,,LONG,10,22.75,0,1,1,5.329,100,100,5.329,0,5.329,closed,22.75,,23.16,23.84,26.17,21.4,18.022,47.912,150.33,-59.341
EOS/USDT:LONG:1.006,"01/20/2023, 09:26:32 PM","01/21/2023, 03:33:00 AM",EOS/USDT,,LONG,10,1.022,0,1,1,30.225,100,100,30.225,0,30.225,closed,1.022,,1.054,,,1.006,31.311,,,-15.656
GMTUSDT:SHORT:0.4433,"03/14/2023, 10:18:14 PM","03/17/2023, 10:44:00 PM",GMTUSDT,,SHORT,3,0.4,0,1,1,17.055,100,100,17.055,0,17.055,closed,0.4,,0.359,0.296,,0.443,30.6,78.375,,-32.475
AXSUSDT:LONG:8.3,"04/10/2023, 06:57:49 PM","04/12/2023, 03:47:00 AM",AXSUSDT,,LONG,10,8.51,0,1,1,5.94,100,100,5.94,0,5.94,closed,8.51,,8.66,8.85,9,8.3,17.626,39.953,57.579,-24.677
ETH/USDT:Long:1952,"04/13/2023, 11:31:55 AM","04/13/2023, 12:12:00 PM",ETH/USDT,,LONG,10,1984,0,1,0,-2.535,100,100,-2.535,0,-2.535,closed,1984,,2050,,,1952,33.266,,,-16.129
OPUSDT:LONG:2.4125,"04/13/2023, 08:43:41 PM","04/14/2023, 03:13:00 AM",OPUSDT,,LONG,10,2.475,0,1,1,18.847,100,100,18.847,0,18.847,closed,2.475,,2.509,,,2.413,13.535,,,-25.253
DOT/USDT:LONG:6.4,"04/18/2023, 01:42:32 PM","04/19/2023, 10:22:00 AM",DOT/USDT,,LONG,5,6.954,0,1,0,-39.833,100,100,-39.833,0,-39.833,closed,6.954,,7,,,6.4,3.307,,,-39.833
MATIC/USDT:LONG:0.9758,"04/25/2023, 11:17:11 PM","04/25/2023, 11:23:00 PM",MATIC/USDT,,LONG,5,0.995,0,1,2,2.978,100,100,2.978,0,2.978,closed,0.995,,1.001,1.005,1.18,0.976,3.419,5.128,93.263,-9.402
FTM/USDT:LONG:0.37,"04/27/2023, 10:49:28 PM","05/08/2023, 07:01:00 PM",FTM/USDT,,LONG,3,0.432,0,1,0,-42.758,100,100,-42.758,0,-42.758,closed,0.432,0.388,0.453,0.47,0.52,0.37,14.739,26.767,61.53,-42.758
ARB/USDT:LONG:1.27,"05/03/2023, 09:17:15 PM","05/04/2023, 03:39:00 PM",ARB/USDT,,LONG,7,1.325,0,1,1,3.249,100,100,3.249,0,3.249,closed,1.325,1.29,1.345,1.39,1.47,1.27,10.566,34.34,76.604,-29.057
