signalId,date open,date closed,coin,exchange,direction,leverage,avgEntryPrice,avgTpValue,maxReachedEntry,maxReachedTp,pnl,allocatedAmount,spentAmount,realizedProfit,unrealizedProfit,totalProfit,status,EP1,EP2,TP1,TP2,TP3,TP4,TP5,stopLoss,TP Pot. Profit 1,TP Pot. Profit 2,TP Pot. Profit 3,TP Pot. Profit 4,TP Pot. Profit 5,potentialLoss
KSM/USDT:LONG:21.4,"01/02/2023, 11:26:13 PM","01/03/2023, 03:52:00 PM",KSM/USDT,,LONG,10,22.75,0,1,1,5.329,100,100,5.329,0,5.329,closed,22.75,,23.16,23.84,26.17,,,21.4,18.022,47.912,150.33,,,-59.341
OP/USDT:LONG:0.826,"01/03/2023, 03:37:21 PM","01/06/2023, 11:53:00 AM",OP/USDT,,LONG,5,0.981,0,1,2,14.517,100,100,14.517,0,14.517,closed,0.981,0.875,0.999,1.033,1.19,,,0.826,9.174,26.504,106.524,,,-79.001
XRP/USDT:LONG:0.31,"01/04/2023, 10:39:26 AM","01/09/2023, 09:13:00 PM",XRP/USDT,,LONG,5,0.35,0,1,1,2.655,100,100,2.655,0,2.655,closed,0.35,0.326,0.355,0.373,0.43,,,0.31,8.005,32.733,114.637,,,-56.89
SOL/USDT:SHORT:15.2,"01/04/2023, 04:30:10 PM","01/06/2023, 05:56:00 PM",SOL/USDT,,SHORT,5,13.28,0,1,1,7.729,100,100,7.729,0,7.729,closed,13.28,14.2,12.791,11.112,10.189,,,15.2,18.411,81.627,116.378,,,-72.289
REN/USDT:LONG:0.06,"01/08/2023, 07:23:20 PM","01/08/2023, 09:03:00 PM",REN/USDT,,LONG,10,0,0,0,0,0,100,0,0,0,0,closed,0.063,0.061,0.064,0.066,0.074,0.075,,0.06,15.873,47.619,166.667,190.476,,-47.619
MATIC/USDT:LONG:0.735,"01/08/2023, 09:26:52 PM","01/14/2023, 01:38:00 AM",MATIC/USDT,,LONG,10,0.814,0,1,3,81.657,100,100,81.657,0,81.657,closed,0.814,0.753,0.829,0.856,0.95,,,0.735,18.796,51.966,167.076,,,-97.052
TRB/USDT:LONG:11.55,"01/09/2023, 11:07:36 PM","01/11/2023, 04:21:00 AM",TRB/USDT,,LONG,10,13.2,0,1,1,4.439,100,100,4.439,0,4.439,closed,13.2,11.98,13.5,14.3,15.3,15.8,17,11.55,22.727,83.333,159.091,196.97,287.879,-125
AVAX/USDT::11.3,"01/10/2023, 10:36:11 AM","01/10/2023, 02:35:00 PM",AVAX/USDT,,LONG,10,12.4,0,1,0,-0.645,100,100,-0.645,0,-0.645,closed,12.4,11.51,12.7,13.35,14.01,18,,11.3,24.194,76.613,129.839,451.613,,-88.71
AVAX/USDT::11.3,"01/10/2023, 09:07:45 PM","01/11/2023, 07:18:00 PM",AVAX/USDT,,LONG,5,12.73,0,1,1,2.434,100,100,2.434,0,2.434,closed,12.73,11.51,13,13.35,14.01,18,,11.3,10.605,24.352,50.275,206.991,,-56.167
ALGO/USDT:SHORT:0.21,"01/11/2023, 05:54:47 PM","01/11/2023, 07:14:00 PM",ALGO/USDT,,SHORT,5,0.198,0,1,0,-2.528,100,100,-2.528,0,-2.528,closed,0.198,0.207,0.196,0.192,0.181,,,0.21,5.056,14.914,42.973,,,-30.839
EGLD/USDT:SHORT:43.57,"01/19/2023, 12:32:43 PM","01/20/2023, 09:11:00 PM",EGLD/USDT,,SHORT,5,39.71,0,1,0,-32.108,100,100,-32.108,0,-32.108,closed,39.71,42.24,39.2,37.78,35.97,,,43.57,6.422,24.301,47.091,,,-48.602
GTCUSDT:LONG:1.32,"01/19/2023, 09:16:23 PM","02/18/2023, 06:08:00 PM",GTCUSDT,,LONG,3,1.47,0,1,3,83.413,100,100,83.413,-0,83.413,closed,1.47,1.398,1.55,1.75,2.3,,,1.32,16.327,57.143,169.388,,,-30.612
EOS/USDT:LONG:1.006,"01/20/2023, 09:26:32 PM","01/21/2023, 03:33:00 AM",EOS/USDT,,LONG,10,1.022,0,1,1,30.225,100,100,30.225,0,30.225,closed,1.022,,1.054,,,,,1.006,31.311,,,,,-15.656
