signalId,date open,date closed,coin,exchange,direction,leverage,avgEntryPrice,avgTpValue,maxReachedEntry,maxReachedTp,pnl,allocatedAmount,spentAmount,realizedProfit,unrealizedProfit,totalProfit,status,EP1,EP2,EP3,EP4,TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14,TP15,stopLoss,TP Pot. Profit 1,TP Pot. Profit 2,TP Pot. Profit 3,TP Pot. Profit 4,TP Pot. Profit 5,TP Pot. Profit 6,TP Pot. Profit 7,TP Pot. Profit 8,TP Pot. Profit 9,TP Pot. Profit 10,TP Pot. Profit 11,TP Pot. Profit 12,TP Pot. Profit 13,TP Pot. Profit 14,TP Pot. Profit 15,potentialLoss
0867,"01/02/2023, 03:23:52 PM","01/05/2023, 10:46:00 AM",CELO/USDT,,LONG,3,0.495,0,1,1,0.455,100,25,0.114,0,0.114,closed,0.495,0.465,0.435,0.405,0.51,0.53,0.56,0.6,0.66,0.73,0.82,0.95,1.15,1.55,,,,,,0.359,9.091,21.212,39.394,63.636,100,142.424,196.97,275.758,396.97,639.394,,,,,,-82.424
0868,"01/03/2023, 03:27:47 PM","01/04/2023, 04:08:00 PM",ZEN/USDT,,LONG,3,9.1,0,1,1,0.412,100,25,0.103,0,0.103,closed,9.1,8.55,8,7.45,9.35,9.7,10.1,10.6,11.5,12.5,14,17,21,27,36,,,,,6.52,8.242,19.78,32.967,49.451,79.121,112.088,161.538,260.44,392.308,590.11,886.813,,,,,-85.055
0869,"01/04/2023, 03:50:46 PM","02/20/2023, 08:21:00 AM",SOL/USDT,,LONG,3,13.869,0,2,8,172.889,100,50,86.444,0,86.444,closed,14.45,13.333,12.217,11.1,14.9,15.5,16.2,17,18.2,20,23,27,32,37,43,50,,,,9.72,9.343,21.799,36.332,52.941,77.855,115.225,177.509,260.554,364.36,468.166,592.734,738.062,,,,-98.201
0870,"01/05/2023, 05:15:47 PM","01/18/2023, 04:55:00 PM",CTK/USDT,,LONG,3,0.734,0,1,4,9.237,100,25,2.309,0,2.309,closed,0.734,0.691,0.648,0.605,0.756,0.78,0.81,0.85,0.9,0.97,1.15,1.35,1.6,1.95,2.5,3.35,,,,0.537,8.992,18.801,31.063,47.411,67.847,96.458,170.027,251.771,353.951,497.003,721.798,1069.21,,,,-80.518
0871,"01/06/2023, 02:51:27 PM",,TRX/USDT,,LONG,3,0.051,0,1,7,112.975,100,25,13.493,14.751,28.244,open,0.051,0.048,0.045,0.042,0.053,0.054,0.056,0.059,0.063,0.07,0.08,0.095,0.11,0.142,0.178,,,,,0.037,8.824,17.647,29.412,47.059,70.588,111.765,170.588,258.824,347.059,535.294,747.059,,,,,-80.588
0872,"01/08/2023, 04:46:25 PM","03/09/2023, 09:25:00 PM",BAND/USDT,,LONG,3,1.48,0,1,6,31.014,100,25,7.753,0,7.753,closed,1.48,1.38,1.28,1.18,1.53,1.6,1.7,1.82,1.95,2.15,2.4,3,3.8,4.8,5.65,,,,,1.05,10.135,24.324,44.595,68.919,95.27,135.811,186.486,308.108,470.27,672.973,845.27,,,,,-87.162
0873,"01/09/2023, 06:34:27 PM","01/12/2023, 02:22:00 PM",EOS/USDT,,LONG,3,0.95,0,1,1,0.474,100,25,0.118,0,0.118,closed,0.95,0.893,0.837,0.78,0.98,1.02,1.07,1.15,1.25,1.45,1.8,2.3,3.2,,,,,,,0.705,9.474,22.105,37.895,63.158,94.737,157.895,268.421,426.316,710.526,,,,,,,-77.368
0874,"01/10/2023, 05:14:24 PM","01/12/2023, 11:02:00 AM",ALICE/USDT,,LONG,3,1.242,0,1,1,0.459,100,25,0.115,0,0.115,closed,1.242,1.161,1.081,1,1.28,1.32,1.38,1.45,1.55,1.75,2,2.45,3.1,3.7,4.5,5.45,,,,0.89,9.179,18.841,33.333,50.242,74.396,122.705,183.092,291.787,448.792,593.72,786.957,1016.425,,,,-85.024
0875,"01/11/2023, 04:31:05 PM","02/21/2023, 03:51:00 AM",THETA/USDT,,LONG,3,0.795,0,1,8,114.226,100,25,28.557,0,28.557,closed,0.795,0.742,0.688,0.635,0.82,0.84,0.87,0.9,0.95,1.03,1.15,1.3,1.5,1.8,2.25,2.95,,,,0.564,9.434,16.981,28.302,39.623,58.491,88.679,133.962,190.566,266.038,379.245,549.057,813.208,,,,-87.17
0876,"01/12/2023, 02:17:13 PM","02/04/2023, 09:04:00 PM",GRT/USDT,,LONG,3,0.07,0,1,8,111.286,100,25,27.821,0,27.821,closed,0.07,0.066,0.061,0.057,0.073,0.075,0.077,0.079,0.083,0.089,0.1,0.115,0.14,0.195,0.255,0.345,,,,0.051,8.949,19.602,28.125,36.648,53.693,79.261,126.136,190.057,296.591,530.966,786.648,1170.17,,,,-83.523
0877,"01/13/2023, 03:18:20 PM","03/10/2023, 11:02:00 AM",DOT/USDT,,LONG,3,5.21,0,1,6,26.488,100,25,6.622,0,6.622,closed,5.21,4.89,4.57,4.25,5.36,5.55,5.8,6.2,6.7,7.3,8.2,9.5,12,16,23,,,,,3.77,8.637,19.578,33.973,57.006,85.797,120.345,172.169,247.025,390.979,621.305,1024.376,,,,,-82.917
0878,"01/14/2023, 03:14:45 PM","01/14/2023, 04:01:00 PM",QNT/USDT,,SHORT,5,129.5,0,1,1,0.386,100,25,0.097,0,0.097,closed,129.5,134.167,138.833,143.5,127.5,125,122,118,111,102,90,72,40.5,,,,,,,150.2,7.722,17.375,28.958,44.402,71.429,106.178,152.51,222.008,343.629,,,,,,,-79.923
0879,"01/14/2023, 10:06:02 PM","01/15/2023, 03:02:00 AM",BTC/USDT,,SHORT,10,20820,0,1,1,0.408,100,25,0.102,0,0.102,closed,20820,21133.333,21446.667,21760,20650,20450,20200,19900,19400,18700,18100,17500,16800,,,,,,,22440,8.165,17.771,29.779,44.188,68.204,101.825,130.644,159.462,193.084,,,,,,,-77.81
