signalId,date open,date closed,coin,exchange,direction,leverage,avgEntryPrice,avgTpValue,maxReachedEntry,maxReachedTp,pnl,allocatedAmount,spentAmount,realizedProfit,unrealizedProfit,totalProfit,status,EP1,EP2,EP3,EP4,TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,stopLoss,TP Pot. Profit 1,TP Pot. Profit 2,TP Pot. Profit 3,TP Pot. Profit 4,TP Pot. Profit 5,TP Pot. Profit 6,TP Pot. Profit 7,TP Pot. Profit 8,potentialLoss
STORJUSDT:LONG:0.3995,"04/16/2023, 08:41:57 PM","04/17/2023, 02:39:00 AM",STORJUSDT,Bybit USDT,LONG,10,0.406,0,4,0,-15.387,100,100,-15.387,0,-15.387,closed,0.408,0.407,0.405,0.404,0.424,0.431,0.449,0.474,0.5,0.525,0.554,0.574,0.4,39.216,55.147,99.265,160.539,225.49,285.539,356.618,406.863,-20.833
MINAUSDT:LONG:0.8112,"04/16/2023, 09:00:57 PM","04/16/2023, 10:04:00 PM",MINAUSDT,Bybit USDT,LONG,10,0.824,0,4,0,-15.221,100,100,-15.221,0,-15.221,closed,0.828,0.825,0.822,0.82,0.861,0.874,0.911,0.961,1.015,1.065,1.123,1.165,0.811,40.222,55.321,100.495,160.768,226.114,286.387,356.806,407.054,-20.172
BNBUSDT:LONG:339.19,"04/16/2023, 10:00:25 PM","04/17/2023, 04:42:00 PM",BNBUSDT,Binance Futures,LONG,10,344.405,0,4,0,-15.142,100,100,-15.142,0,-15.142,closed,346.15,344.99,343.83,342.67,360.06,365.28,380.93,401.81,424.42,445.29,469.65,487.04,339.19,40.185,55.265,100.477,160.797,226.116,286.408,356.782,407.02,-20.107
LTCUSDT:LONG:98.48,"04/16/2023, 10:00:27 PM","04/17/2023, 02:36:00 AM",LTCUSDT,Bybit USDT,LONG,10,99.994,0,4,0,-15.137,100,100,-15.137,0,-15.137,closed,100.5,100.163,99.827,99.49,104.54,106.06,110.6,116.66,123.23,129.29,136.36,141.41,98.48,40.199,55.323,100.498,160.796,226.169,286.468,356.816,407.065,-20.1
KNCUSDT:LONG:0.7726,"04/16/2023, 10:00:29 PM","04/17/2023, 03:01:00 AM",KNCUSDT,Binance Futures,LONG,10,0.785,0,4,0,-15.218,100,100,-15.218,0,-15.218,closed,0.789,0.786,0.783,0.781,0.82,0.832,0.868,0.915,0.967,1.014,1.07,1.11,0.773,40.203,55.295,100.444,160.812,226.126,286.493,356.753,407.102,-20.165
CVXUSDT:LONG:5.935,"04/16/2023, 10:00:32 PM","04/17/2023, 02:52:00 AM",CVXUSDT,Bybit USDT,LONG,10,6.027,0,4,0,-15.33,100,100,-15.33,0,-15.33,closed,6.06,6.038,6.017,5.995,6.3,6.39,6.665,7.03,7.425,7.795,8.22,8.525,5.935,39.604,54.455,99.835,160.066,225.248,286.304,356.436,406.766,-20.627
SOLUSDT:LONG:24.764,"04/16/2023, 11:00:22 PM","04/17/2023, 01:35:00 PM",SOLUSDT,Binance Futures,LONG,10,25.145,0,4,0,-15.138,100,100,-15.138,0,-15.138,closed,25.272,25.187,25.103,25.018,26.287,26.668,27.811,29.335,30.986,32.51,34.288,35.558,24.764,40.163,55.239,100.467,160.771,226.1,286.404,356.758,407.012,-20.101
XLMUSDT:LONG:0.10485,"04/16/2023, 11:00:27 PM","04/17/2023, 12:02:00 PM",XLMUSDT,Bybit USDT,LONG,10,0.106,0,4,0,-15.016,100,100,-15.016,0,-15.016,closed,0.107,0.107,0.106,0.106,0.111,0.113,0.118,0.124,0.131,0.138,0.145,0.151,0.105,40.187,55.14,100.467,160.748,226.168,286.449,356.542,407.009,-20.093
ICPUSDT:LONG:5.975,"04/17/2023, 01:00:27 AM","04/17/2023, 02:29:00 AM",ICPUSDT,Bybit USDT,LONG,10,6.067,0,4,0,-15.231,100,100,-15.231,0,-15.231,closed,6.098,6.078,6.057,6.037,6.343,6.435,6.711,7.078,7.477,7.845,8.274,8.58,5.975,40.177,55.264,100.525,160.708,226.14,286.487,356.838,407.019,-20.171
CELRUSDT:LONG:0.02825,"04/17/2023, 03:00:36 AM","04/17/2023, 05:04:00 AM",CELRUSDT,Binance Futures,LONG,10,0.029,0,3,1,21.751,100,75,16.313,0,16.313,closed,0.029,0.029,0.029,0.029,0.03,0.03,0.032,0.033,0.035,0.037,0.039,0.041,0.028,39.875,54.785,100.208,160.541,225.728,286.061,356.449,406.727,-20.458
ANTUSDT:LONG:3.35,"04/17/2023, 03:00:39 AM","04/17/2023, 10:45:00 AM",ANTUSDT,Bybit USDT,LONG,10,0,0,0,0,0,100,0,0,0,0,closed,3.425,3.412,3.398,3.385,3.56,3.61,3.765,3.97,4.195,4.4,4.64,4.815,3.35,39.416,54.015,99.27,159.124,224.818,284.672,354.745,405.839,-21.898
XMRUSDT:LONG:158.65,"04/17/2023, 04:00:30 AM","04/18/2023, 02:37:00 AM",XMRUSDT,Bybit USDT,LONG,10,161.123,0,4,0,-15.346,100,100,-15.346,0,-15.346,closed,161.95,161.4,160.85,160.3,168.4,170.85,178.2,187.95,198.55,208.3,219.7,227.85,158.65,39.827,54.955,100.34,160.543,225.996,286.199,356.592,406.916,-20.377
THETAUSDT:LONG:1.0829,"04/17/2023, 04:00:43 AM","04/19/2023, 10:22:00 AM",THETAUSDT,Binance Futures,LONG,10,1.1,0,4,3,39.395,100,100,39.395,0,39.395,closed,1.105,1.101,1.098,1.094,1.15,1.166,1.216,1.283,1.355,1.422,1.499,1.555,1.083,40.177,55.289,100.534,160.8,226.133,286.399,356.8,407.022,-20.089
ENSUSDT:LONG:13.837,"04/17/2023, 04:00:47 AM","04/19/2023, 10:09:00 AM",ENSUSDT,Binance Futures,LONG,10,14.05,0,4,1,22.712,100,100,22.712,0,22.712,closed,14.121,14.074,14.026,13.979,14.688,14.901,15.54,16.391,17.314,18.165,19.159,19.868,13.837,40.153,55.237,100.489,160.753,226.117,286.382,356.774,406.983,-20.112
AVAXUSDT:LONG:20.295,"04/17/2023, 07:00:24 AM","04/17/2023, 01:34:00 PM",AVAXUSDT,Binance Futures,LONG,10,20.607,0,4,0,-15.15,100,100,-15.15,0,-15.15,closed,20.712,20.642,20.573,20.503,21.544,21.856,22.793,24.042,25.395,26.644,28.101,29.142,20.295,40.17,55.234,100.473,160.776,226.101,286.404,356.75,407.01,-20.133
AUDIOUSDT:LONG:0.3826,"04/17/2023, 12:00:27 PM","04/17/2023, 12:36:00 PM",AUDIOUSDT,Binance Futures,LONG,10,0.389,0,4,0,-15.3,100,100,-15.3,0,-15.3,closed,0.391,0.389,0.388,0.387,0.406,0.412,0.43,0.453,0.479,0.502,0.53,0.55,0.383,40.205,55.314,100.384,160.819,226.12,286.556,356.722,407.17,-20.23
TRBUSDT:LONG:15.57,"04/17/2023, 01:00:33 PM","04/17/2023, 05:45:00 PM",TRBUSDT,Binance Futures,LONG,10,15.81,0,4,0,-15.166,100,100,-15.166,0,-15.166,closed,15.89,15.837,15.783,15.73,16.52,16.76,17.48,18.44,19.48,20.44,21.55,22.35,15.57,39.648,54.751,100.063,160.478,225.928,286.344,356.199,406.545,-20.138
MAGICUSDT:LONG:1.4825,"04/17/2023, 02:00:22 PM","04/18/2023, 03:16:00 AM",MAGICUSDT,Binance Futures,LONG,10,1.505,0,4,0,-15.165,100,100,-15.165,0,-15.165,closed,1.513,1.508,1.503,1.498,1.574,1.597,1.665,1.756,1.855,1.946,2.053,2.129,1.483,40.185,55.254,100.463,160.74,226.107,286.385,356.775,407.006,-20.159
KSMUSDT:LONG:35.34,"04/17/2023, 02:00:29 PM","04/19/2023, 10:10:00 AM",KSMUSDT,Binance Futures,LONG,10,35.884,0,4,1,22.649,100,100,22.649,0,22.649,closed,36.07,35.947,35.823,35.7,37.51,38.06,39.69,41.86,44.22,46.4,48.93,50.75,35.34,39.922,55.171,100.36,160.521,225.95,286.388,356.529,406.986,-20.238
OGNUSDT:LONG:0.1277,"04/17/2023, 04:00:29 PM","04/19/2023, 10:10:00 AM",OGNUSDT,Binance Futures,LONG,10,0.13,0,4,1,22.568,100,100,22.568,0,22.568,closed,0.13,0.13,0.129,0.129,0.136,0.138,0.143,0.151,0.16,0.168,0.177,0.183,0.128,39.908,55.257,100.537,161.167,226.401,286.262,356.869,407.521,-19.954
