signalId,date open,date closed,coin,exchange,direction,leverage,avgEntryPrice,avgTpValue,maxReachedEntry,maxReachedTp,pnl,allocatedAmount,spentAmount,realizedProfit,unrealizedProfit,totalProfit,status,EP1,EP2,EP3,EP4,TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,stopLoss,TP Pot. Profit 1,TP Pot. Profit 2,TP Pot. Profit 3,TP Pot. Profit 4,TP Pot. Profit 5,TP Pot. Profit 6,TP Pot. Profit 7,TP Pot. Profit 8,TP Pot. Profit 9,TP Pot. Profit 10,TP Pot. Profit 11,potentialLoss
GMT/USDT:SHORT:0.445,"02/22/2023, 01:54:47 PM","02/22/2023, 08:07:00 PM",GMT/USDT,,SHORT,10,0.424,0,2,1,3.662,100,50,1.831,0,1.831,closed,0.422,0.426,0.431,0.435,0.415,0.407,0.4,0.39,0.38,0.37,,,,,,0.445,17.054,36.002,52.582,76.267,99.953,123.638,,,,,,-54.003
MANA/USDT:SHORT:0.66,"03/03/2023, 01:12:15 PM","03/06/2023, 11:19:00 AM",MANA/USDT,,SHORT,10,0.604,0,2,3,13.318,100,50,6.659,0,6.659,closed,0.6,0.608,0.617,0.625,0.59,0.58,0.57,0.56,0.54,0.52,0.5,0.48,0.45,,,0.66,16.667,33.333,50,66.667,100,133.333,166.667,200,250,,,-100
ETC/USDT:SHORT:21.4,"03/03/2023, 01:34:56 PM","03/05/2023, 02:06:00 AM",ETC/USDT,,SHORT,10,20.11,0,3,1,4.337,100,75,3.252,0,3.252,closed,19.82,20.113,20.407,20.7,19.5,19.1,18.8,18.4,17.8,17.4,17,,,,,21.4,16.145,36.327,51.463,71.645,101.917,122.099,142.281,,,,,-79.717
MASK/USDT:SHORT:3.8,"03/04/2023, 11:33:04 AM","03/07/2023, 01:30:00 AM",MASK/USDT,,SHORT,10,3.452,0,4,0,-100.933,100,100,-100.933,0,-100.933,closed,3.31,3.407,3.503,3.6,2.55,2.4,2.25,2.1,2,,,,,,,3.8,229.607,274.924,320.242,365.559,395.77,,,,,,,-148.036
ENS/USDT:SHORT:15,"03/04/2023, 12:00:46 PM","03/05/2023, 12:19:00 AM",ENS/USDT,,SHORT,10,13.96,0,1,1,3.104,100,25,0.776,0,0.776,closed,13.96,14.173,14.387,14.6,13.7,13.5,13.3,13,12.5,12,,,,,,15,18.625,32.951,47.278,68.768,104.585,140.401,,,,,,-74.499
GRT/USDT:SHORT:0.148,"03/04/2023, 11:00:19 PM","03/08/2023, 01:11:00 AM",GRT/USDT,,SHORT,10,0.139,0,4,1,5.365,100,100,5.365,0,5.365,closed,0.136,0.138,0.14,0.142,0.133,0.13,0.127,0.124,0.118,0.112,0.106,0.1,,,,0.148,22.059,44.118,66.176,88.235,132.353,176.471,220.588,264.706,,,,-88.235
NEO/USDT:SHORT:11.6,"03/08/2023, 10:23:46 PM","03/09/2023, 10:12:00 AM",NEO/USDT,,SHORT,10,10.75,0,1,2,5.116,100,25,1.279,0,1.279,closed,10.75,10.9,11.05,11.2,10.55,10.4,10.2,10,9.6,9.3,8.95,8.6,8,7.5,,11.6,18.605,32.558,51.163,69.767,106.977,134.884,167.442,200,255.814,302.326,,-79.07
SUSHI/USDT:LONG:1.08,"03/12/2023, 11:31:54 PM","03/15/2023, 04:37:00 PM",SUSHI/USDT,,LONG,10,1.147,0,4,4,43.969,100,100,43.969,0,43.969,closed,1.164,1.153,1.141,1.13,1.19,1.21,1.23,1.26,1.31,1.35,,,,,,1.08,22.337,39.519,56.701,82.474,125.43,159.794,,,,,,-72.165
APT/USDT:LONG:10.8,"03/13/2023, 10:25:36 AM","03/25/2023, 08:00:00 PM",APT/USDT,,LONG,10,11.599,0,2,7,84.332,100,50,42.166,0,42.166,closed,11.68,11.52,11.36,11.2,12,12.2,12.4,12.6,13.1,13.6,14.1,14.8,16,,,10.8,27.397,44.521,61.644,78.767,121.575,164.384,207.192,267.123,369.863,,,-75.342
LINK/USDT:LONG:6.6,"03/18/2023, 09:47:48 AM","03/20/2023, 08:24:00 PM",LINK/USDT,,LONG,10,7.058,0,4,1,6.113,100,100,6.113,0,6.113,closed,7.22,7.113,7.007,6.9,7.36,7.5,7.64,7.8,8.1,8.4,8.8,,,,,6.6,19.391,38.781,58.172,80.332,121.884,163.435,218.837,,,,,-85.873
